"filename", "language", "Meson", "Markdown", "Vala", "Properties", "Blueprint", "PostCSS", "XML", "SVG", "YAML", "comment", "blank", "total"
"/var/home/rirusha/Projects/ReadySet/plugins/keyboard/data/assets/icons/keyboard-symbolic.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"/var/home/rirusha/Projects/ReadySet/plugins/keyboard/data/meson.build", "Meson", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 37
"/var/home/rirusha/Projects/ReadySet/plugins/keyboard/data/org.altlinux.ReadySet.Plugin.Keyboard.gresource.xml", "XML", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"/var/home/rirusha/Projects/ReadySet/plugins/keyboard/data/style.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/var/home/rirusha/Projects/ReadySet/plugins/keyboard/data/ui/input-chooser.blp", "Blueprint", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 11, 59
"/var/home/rirusha/Projects/ReadySet/plugins/keyboard/data/ui/input-row.blp", "Blueprint", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 4, 18
"/var/home/rirusha/Projects/ReadySet/plugins/keyboard/data/ui/page.blp", "Blueprint", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 5, 22
"/var/home/rirusha/Projects/ReadySet/plugins/keyboard/ibus-utils.vala", "Vala", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 34
"/var/home/rirusha/Projects/ReadySet/plugins/keyboard/input-chooser.vala", "Vala", 0, 0, 0, 0, 0, 0, 0, 0, 0, 429, 0, 429
"/var/home/rirusha/Projects/ReadySet/plugins/keyboard/input-row.vala", "Vala", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 6, 38
"/var/home/rirusha/Projects/ReadySet/plugins/keyboard/meson.build", "Meson", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 42
"/var/home/rirusha/Projects/ReadySet/plugins/keyboard/page.vala", "Vala", 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 89
"/var/home/rirusha/Projects/ReadySet/plugins/keyboard/plugin.vala", "Vala", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 10, 58
"/var/home/rirusha/Projects/ReadySet/plugins/keyboard/utils.vala", "Vala", 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 33, 170
"/var/home/rirusha/Projects/ReadySet/plugins/language/box.vala", "Vala", 0, 0, 0, 0, 0, 0, 0, 0, 0, 187, 0, 187
"/var/home/rirusha/Projects/ReadySet/plugins/language/data/assets/icons/language-symbolic.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"/var/home/rirusha/Projects/ReadySet/plugins/language/data/meson.build", "Meson", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 37
"/var/home/rirusha/Projects/ReadySet/plugins/language/data/org.altlinux.ReadySet.Plugin.Language.gresource.xml", "XML", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"/var/home/rirusha/Projects/ReadySet/plugins/language/data/style.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/var/home/rirusha/Projects/ReadySet/plugins/language/data/ui/box.blp", "Blueprint", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 12, 57
